epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,150.609,0.77219,0.5917,0.92518,0.47749,0.43541,0.37886,0.24695,1.4052,1.57762,1.3272,0.000360894,0.000360894,0.000360894
153,151.608,0.77616,0.6067,0.9437,0.48484,0.41175,0.37564,0.24755,1.41195,1.6062,1.3252,0.00035382,0.00035382,0.00035382
154,152.552,0.77333,0.58689,0.91528,0.47438,0.43148,0.37204,0.23938,1.41603,1.65276,1.33098,0.000346747,0.000346747,0.000346747
155,153.487,0.8063,0.61354,0.93301,0.45947,0.41499,0.36796,0.23358,1.40004,1.65167,1.32084,0.000339673,0.000339673,0.000339673
156,154.47,0.77639,0.57622,0.92262,0.4888,0.40609,0.36374,0.23485,1.39857,1.61018,1.31135,0.0003326,0.0003326,0.0003326
157,155.462,0.78282,0.58307,0.92062,0.50684,0.40113,0.3632,0.23169,1.41209,1.61415,1.31776,0.000325526,0.000325526,0.000325526
158,156.488,0.77157,0.56983,0.90365,0.46632,0.42179,0.36622,0.22828,1.41575,1.58061,1.32202,0.000318453,0.000318453,0.000318453
159,157.48,0.79123,0.60086,0.93017,0.46727,0.43929,0.37297,0.23285,1.4334,1.57258,1.34429,0.000311379,0.000311379,0.000311379
160,158.47,0.78261,0.58171,0.92262,0.5275,0.37319,0.37265,0.23649,1.40528,1.57848,1.31326,0.000304306,0.000304306,0.000304306
161,159.541,0.75592,0.56451,0.90254,0.53685,0.38659,0.36797,0.23777,1.40548,1.62839,1.31092,0.000297232,0.000297232,0.000297232
162,160.515,0.76812,0.58857,0.91697,0.50996,0.40217,0.36446,0.23629,1.39511,1.68658,1.3106,0.000290158,0.000290158,0.000290158
163,161.465,0.75697,0.57619,0.91512,0.4856,0.41568,0.36444,0.23443,1.41261,1.67149,1.32568,0.000283085,0.000283085,0.000283085
164,162.439,0.73451,0.55349,0.9022,0.47214,0.40695,0.36656,0.23896,1.40923,1.65204,1.31629,0.000276011,0.000276011,0.000276011
165,163.408,0.76178,0.56164,0.91194,0.46854,0.41278,0.36389,0.23917,1.38987,1.64624,1.3025,0.000268938,0.000268938,0.000268938
166,164.378,0.75977,0.57445,0.9102,0.4958,0.38935,0.37145,0.24519,1.34524,1.64588,1.26316,0.000261864,0.000261864,0.000261864
167,165.347,0.78786,0.59041,0.92147,0.51858,0.37181,0.36532,0.24558,1.32938,1.64688,1.23999,0.000254791,0.000254791,0.000254791
168,166.317,0.75548,0.57502,0.92239,0.42921,0.40403,0.36095,0.24008,1.34388,1.65424,1.24809,0.000247717,0.000247717,0.000247717
169,167.358,0.77468,0.57817,0.92253,0.44851,0.40724,0.35957,0.23793,1.3519,1.63157,1.24551,0.000240644,0.000240644,0.000240644
170,168.312,0.71597,0.55823,0.918,0.51444,0.37176,0.353,0.23031,1.36593,1.61626,1.25742,0.00023357,0.00023357,0.00023357
171,169.293,0.73146,0.56331,0.90657,0.51366,0.37468,0.35127,0.2273,1.3622,1.59202,1.26942,0.000226497,0.000226497,0.000226497
172,170.231,0.73721,0.56131,0.91256,0.49083,0.39986,0.35965,0.22302,1.38829,1.56448,1.29373,0.000219423,0.000219423,0.000219423
173,171.197,0.73791,0.55625,0.90935,0.49511,0.38651,0.35508,0.21893,1.40082,1.55354,1.30558,0.000212349,0.000212349,0.000212349
174,172.177,0.72287,0.54143,0.90132,0.52007,0.37763,0.3569,0.21617,1.40529,1.59248,1.30486,0.000205276,0.000205276,0.000205276
175,173.135,0.73032,0.56499,0.91582,0.51171,0.37471,0.35933,0.21906,1.39679,1.60533,1.29109,0.000198202,0.000198202,0.000198202
176,174.109,0.74992,0.57043,0.91473,0.43795,0.41057,0.35616,0.22388,1.37446,1.61212,1.27997,0.000191129,0.000191129,0.000191129
177,175.067,0.75586,0.5676,0.91929,0.45257,0.41312,0.35829,0.2266,1.36765,1.5986,1.2724,0.000184055,0.000184055,0.000184055
178,176.125,0.74557,0.55777,0.91551,0.48131,0.40084,0.36278,0.23037,1.36451,1.57539,1.26943,0.000176982,0.000176982,0.000176982
179,177.063,0.72533,0.54293,0.90425,0.52604,0.38666,0.36843,0.23563,1.36092,1.56461,1.26061,0.000169908,0.000169908,0.000169908
180,178.059,0.72874,0.55222,0.89864,0.54634,0.38038,0.37785,0.24127,1.37001,1.56978,1.25862,0.000162835,0.000162835,0.000162835
